Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
West Europe - Quarterly LDPE Balance,NET Inventory,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_NET_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Supply NET Inventory Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,NET Inventory
West Europe - Quarterly LLDPE Balance,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_NPC_WE.QUARTERLY,IHS West Europe LLDPE Market Quarterly Supply Nameplate Capacity,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Nameplate Capacity
West Europe - Quarterly LLDPE Balance,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LLDPE_NPC_WE.QUARTERLY.FORECAST,IHS West Europe LLDPE Market Quarterly Supply Nameplate Capacity Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Nameplate Capacity
West Europe - Quarterly LLDPE Balance,Nameplate Operating Rate (%),IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_NOR_WE.QUARTERLY,IHS West Europe LLDPE Market Quarterly Supply Nameplate Operating Rate (%),CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Nameplate Operating Rate (%)
West Europe - Quarterly LLDPE Balance,Nameplate Operating Rate (%),IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LLDPE_NOR_WE.QUARTERLY.FORECAST,IHS West Europe LLDPE Market Quarterly Supply Nameplate Operating Rate (%) Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Nameplate Operating Rate (%)
West Europe - Quarterly LLDPE Balance,Production,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_PRD_WE.QUARTERLY,IHS West Europe LLDPE Market Quarterly Supply Production,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Production
West Europe - Quarterly LLDPE Balance,Production,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LLDPE_PRD_WE.QUARTERLY.FORECAST,IHS West Europe LLDPE Market Quarterly Supply Production Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Production
West Europe - Quarterly LLDPE Balance,Imports,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_IMP_WE.QUARTERLY,IHS West Europe LLDPE Market Quarterly Supply Imports,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Imports
West Europe - Quarterly LLDPE Balance,Imports,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LLDPE_IMP_WE.QUARTERLY.FORECAST,IHS West Europe LLDPE Market Quarterly Supply Imports Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Imports
West Europe - Quarterly LLDPE Balance,Total Supply,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_TSP_WE.QUARTERLY,IHS West Europe LLDPE Market Quarterly Supply Total Supply,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LLDPE,West Europe,WE,,,Supply,Total Supply
